,status,species,germination,earlysurvival,adulthood,lifehistory,life_form
1,introduced,Carduus nutans,0.11,0.909747139,0.0003234,annual,nonwoody
5,native,Collinsia verna,0.3155,0.970503341,0.1008,annual,
11,native,Euphrasia officinalis,0.29,0.949144378,0.272089552,annual,
13,introduced,Centaurea solstitialis,0.052591463,0.9181344,0.370812044,annual,
15,introduced,Chrysanthemum leucanthemum,0.0614,0.846560687,,annual,
21,introduced,Centaurea stoebe,0.0615,0.650081574,,annual,
29,native,Heterotheca latifolia,0.1836,0.952564811,,annual,nonwoody
31,introduced,Microstegium vimineum,0.264444444,0.836056782,,annual,nonwoody
35,native,Veronica arvensis,0.022,0.954893005,,annual,nonwoody
37,introduced,Alliaria petiolata,0.0327655,0.949018119,0.206212881,biennial,
40,introduced,Centaurea maculosa,0.17,0.975986606,0.42634176,biennial,
44,introduced,Echium vulgare,0.172853331,0.938769153,,biennial,
46,introduced,Picris hieracioides,0.362483744,0.954249429,,biennial,
49,introduced,Verbascum thapsus,0.2163745,0.952910544,,biennial,
53,native,Araucaria hunsteinii,0.00049207,0.98506621,0.000975259,perennial,
56,native,Araucaria cunninghamii,0.0195,0.944377389,0.016497835,perennial,
59,native,Astrocaryum mexicanum,0.036007996,0.935379236,0.055444817,perennial,woody
60,introduced,Cytisus scoparius,0.00105,0.967774605,0.236481,perennial,woody
64,introduced,Ardisia elliptica,0.200346154,0.994781149,0.107926997,perennial,
72,introduced,Syzygium jambos,0.61,0.993164337,0.5859,perennial,
73,introduced,Agropyron cristatum,0.19979,0.996652665,0.756,perennial,
76,native,Achillea millefolium,0.016,0,,perennial,
78,native,Arrhenatherum elatius,0.033,0.956206724,,perennial,
82,native,Ranunculus acris,0.577,0.810440155,,perennial,nonwoody
86,native,Centaurea corymbosa,0.247,0.956431012,,perennial,
89,native,Carpinus caroliniana,0.0171,0.975825884,,perennial,
91,native,Banksia attenuata,0.233751227,0.992275457,,perennial,
93,native,Lupinus arboreus,0.042,0.944107353,,perennial,
99,native,Anthyllis vulneraria,0.175,0.945784672,,perennial,
100,native,Cecropia obtusifolia,0.285714286,0,,perennial,
107,native,Avicennia marina,0.52,0.9927,,perennial,
108,native,Banksia ericifolia,0.190255118,0.955299864,,perennial,woody
114,native,Liquidambar styraciflua,0.3147,0.95035499,,perennial,
115,native,Banksia hookeriana,0.206058018,0.981923669,,perennial,
117,native,Petrophile pulchella,0.091676876,0.975802065,,perennial,
123,native,Ulmus davidiana,0.021266012,0.956484984,,perennial,
135,native,Prunus serotina,0.2031,0.982357714,,perennial,woody
138,native,Acer rubrum,0.275,0.957997588,,perennial,
143,native,Nyssa sylvatica,0.0154,0.972646027,,perennial,
149,native,Festuca rubra,0.02135,0.972815584,,perennial,
